ident,latitude_deg,longitude_deg,term
AK47,61.5857,-149.563,
63AK,61.5843,-149.938,
PANI,61.5816,-159.543,
56AK,61.575,-149.606,
4A3,61.5746,-149.473,
62AK,61.5729,-149.575,
CBH4,61.5647,-124.815,
89AK,61.5594,-149.705,
4AK2,61.558,-149.424,
5AK6,61.557,-149.268,
AK50,61.5546,-149.144,
5AK9,61.5485,-149.19,
4AK8,61.5363,-158.739,
PALG,61.5363,-160.341,
67AK,61.5346,-149.67,
44AK,61.5334,-150.102,
CFT5,61.5239,-128.269,
55AK,61.4958,-149.699,
CEK2,61.4844,-135.776,
AK36,61.436,-150.122,
AK31,61.4112,-143.001,
8AK6,61.3719,-150.262,
D72,61.3525,-149.546,
USRR,61.3437,73.4018,
A13,61.3413,-148.999,
0AK9,61.3326,-150.059,
USHS,61.3266,63.6019,
CYJP,61.3194,-117.606,
47AK,61.2925,-149.533,
ULKK,61.2358,46.6975,
AK0,61.2187,-142.89,
CSR,61.1587,-149.781,
9AK5,61.1165,-149.819,
AK12,61.1066,-149.864,
CBD6,61.0297,-123.389,
9AK3,61.0139,-151.449,
ULKS,60.995,46.87,
CFE8,60.8028,-137.491,
Z59,60.782,-161.743,
03AK,60.7272,-151.1328,
2R3,60.7044,-151.311,
PYL,60.6853,-147.919,
3AK5,60.5889,-152.162,
AK84,60.5294,-150.831,
7AK5,60.5036,-150.936,
9Z9,60.4111,-149.37,
96AK,60.2878,-151.346,
AK5,60.2556,-151.303,
CYJF,60.2358,-123.469,
CYZW,60.1728,-132.743,
CFP6,60.1292,-124.049,
CFY5,60.1031,-130.934,
PTPN,6.9851,158.209,
SVLC,6.9833,-68.0667,
SVNR,6.9833,-68.6333,
SVLX,6.9667,-69.35,
SVOC,6.9667,-68.3333,
SVTL,6.9417,-65.8917,
SVAF,6.9333,-68.0167,
SVCY,6.9333,-68.6333,
BYV,6.9294,79.8542,
SVVM,6.9167,-68.15,
SVCT,6.8833,-68.3833,
SVDF,6.8667,-68.7833,
SVVR,6.8333,-63.5833,
VCCC,6.822,79.8862,
SVRI,6.7841,-68.8651,
SVLS,6.7667,-68.35,
VRMH,6.7442,73.1705,
DGSI,6.7146,-1.5908,
SVBN,6.6,-62.7333,
SVNV,6.5833,-66.2,
SVVX,6.5617,-66.0017,
FEFR,6.5278,21.9894,
FEFY,6.52,23.26,
VTSC,6.5199,101.743,
FEGU,6.517,18.267,
FEFS,6.492,17.429,
SVTE,6.4833,-62.8833,
FKKT,6.483,12.633,
DNEN,6.4743,7.562,
DBBB,6.3572,2.3844,
FEGZ,6.3442,16.3219,
WMKL,6.3297,99.7287,
DNBE,6.317,5.5995,
FEGD,6.3,19.083,
SVPJ,6.2833,-69.3167,
WMKA,6.1897,100.398,
WMKC,6.1669,102.293,
SVLK,6.1667,-69.1667,
ULWK,59.977,45.825,
AK17,59.7636,-151.223,
CNL9,59.7081,-100.127,
5BL,59.6447,-151.502,
UHMT,59.6233,150.922,
CJP6,59.61,-109.267,
CJP9,59.6017,-109.137,
ESOW,59.5894,16.6336,
A68,59.5516,-139.509,
ESSB,59.3544,17.9417,
EGEP,59.3517,-2.9003,
Z33,59.274,-158.624,
CYSF,59.2503,-105.841,
ESOE,59.2237,15.038,
EGED,59.1906,-2.7722,
AK21,59.1326,-157.777,
EEKA,58.9908,22.8307,
EGPA,58.9578,-2.905,
6AK1,58.9117,-161.714,
93AK,58.872,-158.472,
CBK7,58.8494,-125.24,
CBL3,58.8167,-122.783,
CYYQ,58.7392,-94.065,
CFU4,58.7139,-113.876,
PAEH,58.6464,-162.063,
CYOJ,58.6214,-117.165,
UEEA,58.6028,125.409,
ESSP,58.5863,16.2506,
CFG5,58.4914,-115.138,
EEPU,58.419,24.4728,
CEZ4,58.4042,-115.951,
ESGT,58.3181,12.345,
UIKM,58.3133,112.89,
5Z1,58.2989,-134.408,
CYNL,58.2767,-104.082,
CYKC,58.2361,-103.678,
EEKE,58.2299,22.5095,
PAEL,58.1952,-136.347,
CFN5,58.1729,-116.3379,
CYVP,58.0961,-68.4269,
UIKB,57.8661,114.243,
CEV2,57.85,-113.25,
ULOO,57.7839,28.3956,
KWP,57.7701,-153.549,
CKQ8,57.7675,-105.024,
ESGJ,57.7576,14.0687,
CKN8,57.7425,-103.945,
CFM2,57.7,-111.833,
CJQ9,57.6194,-99.8753,
CFL9,57.5667,-110.317,
EGPE,57.5425,-4.0475,
UNOW,57.504,72.331,
CFF3,57.4833,-113.883,
EGPL,57.4811,-7.3628,
CYKJ,57.2561,-105.618,
CAL4,57.2239,-111.419,
CFS6,57.1419,-115.075,
CFW4,57.1375,-110.893,
PASI,57.0471,-135.362,
EVRS,56.9911,24.075,
CBQ7,56.9744,-126.741,
CJS2,56.9494,-102.239,
UUBI,56.9394,40.9408,
ESMX,56.9291,14.728,
UNOT,56.9,74.3,
CYYL,56.8639,-101.076,
USII,56.8281,53.4575,
UUEM,56.8247,35.7577,
ESMT,56.6911,12.8202,
CBW3,56.5214,-124.4703,
CYLR,56.5133,-99.9853,
EGPU,56.4992,-6.8692,
CJL4,56.4733,-109.404,
68A,56.4663,-132.38,
CFM6,56.4594,-114.119,
EGPN,56.4525,-3.0258,
UIBB,56.3706,101.698,
CFA5,56.3,-112.233,
ESTA,56.2961,12.8471,
Z78,56.2956,-158.401,
CFT8,56.1608,-113.474,
Z52,56.0367,-160.266,
EYPA,55.9732,21.0939,
5C5,55.9586,-133.253,
CEP5,55.9,-110.733,
CKB2,55.9,-107.721,
EYSA,55.8939,23.395,
CYTH,55.8011,-97.8642,
EYPP,55.7294,24.4608,
CYCQ,55.6872,-121.627,
CGL4,55.6711,-117.936,
CFF2,55.59,-111.823,
CZMN,55.5889,-97.1642,
CJY4,55.5456,-102.272,
CJF3,55.4897,-107.93,
EGEC,55.4372,-5.6864,
CFY2,55.4,-110.483,
8K9,55.3896,-131.738,
9C0,55.3847,-131.738,
CZLQ,55.3189,-97.7078,
CFK4,55.3167,-113.25,
EYKD,55.3117,23.9564,
CJW4,55.2869,-102.75,
CYGW,55.2819,-77.7653,
UNEE,55.2701,86.1072,
CEU2,55.1842,-119.448,
CYVC,55.1514,-105.262,
CJK3,55.1103,-107.716,
CBQ8,55.0667,-128.233,
EGAE,55.0428,-7.1611,
UNOK,55.02,74.61,
UWGB,55.02,45.315,
UNOO,54.967,73.3105,
EKSB,54.9644,9.7917,
EYKA,54.9639,24.0848,
USCV,54.953,61.5,
CKK6,54.9167,-98.6167,
CJE4,54.8972,-99.8189,
UMKK,54.89,20.5926,
